Technical name,With custom trainer,Learning rate,Weight decay,Threshold,Accuracy,F1,Precision,Recall,Time
distilbert/distilbert-base-uncased,False,1e-05,0.05,0.5078308582305908,0.9429735234215886,0.5,0.5384615384615384,0.4666666666666667,11.74
distilbert/distilbert-base-uncased,False,5e-05,0.01,0.227129265666008,0.9429735234215886,0.5409836065573771,0.532258064516129,0.55,11.85
distilbert/distilbert-base-uncased,False,5e-05,0.05,0.4748197495937347,0.9521384928716904,0.5607476635514018,0.6382978723404256,0.5,55.05
distilbert/distilbert-base-uncased,True,1e-06,0.01,0.5708361864089966,0.9429735234215886,0.44,0.55,0.3666666666666666,11.79
distilbert/distilbert-base-uncased,True,1e-06,0.05,0.5691303014755249,0.9419551934826884,0.4356435643564356,0.5365853658536586,0.3666666666666666,11.76
distilbert/distilbert-base-uncased,True,5e-06,0.01,0.7471358180046082,0.945010183299389,0.509090909090909,0.56,0.4666666666666667,11.78
distilbert/distilbert-base-uncased,True,5e-06,0.05,0.7475872039794922,0.945010183299389,0.509090909090909,0.56,0.4666666666666667,11.79
distilbert/distilbert-base-uncased,True,1e-05,0.01,0.5274213552474976,0.945010183299389,0.5178571428571429,0.5576923076923077,0.4833333333333333,11.71
distilbert/distilbert-base-uncased,True,1e-05,0.05,0.7146626710891724,0.945010183299389,0.509090909090909,0.56,0.4666666666666667,11.76
distilbert/distilbert-base-uncased,True,5e-05,0.01,0.2139450460672378,0.9460285132382892,0.5391304347826087,0.5636363636363636,0.5166666666666667,11.86
distilbert/distilbert-base-uncased,True,5e-05,0.05,0.4818548858165741,0.9389002036659878,0.5238095238095238,0.5,0.55,44.35
